name,type,url
requirements,phase,assets/images/software/phase/requirements.png
design,phase,assets/images/software/phase/design.png
implementation,phase,assets/images/software/phase/implementation.png
unitTest,phase,assets/images/software/phase/unitTest.png
systemTest,phase,assets/images/software/phase/systemTest.png
deployment,phase,assets/images/software/phase/deployment.png
ccTool,tool,assets/images/software/tool/ccTool.png
ciTool,tool,assets/images/software/tool/ciTool.png
dnTool,tool,assets/images/software/tool/dnTool.png
dtTool,tool,assets/images/software/tool/dtTool.png
ideTool,tool,assets/images/software/tool/ideTool.png
plTool,tool,assets/images/software/tool/plTool.png
saTool,tool,assets/images/software/tool/saTool.png
vcTool,tool,assets/images/software/tool/vcTool.png
ttTool,tool,assets/images/software/tool/ttTool.png
teamTask,team,assets/images/team/teamTask.png
individualTask,team,assets/images/team/individualTask.png
airplane,ncsu,assets/images/ncsu/airplane.png
america,ncsu,assets/images/ncsu/america.png
arrows,ncsu,assets/images/ncsu/arrows.png
bar-graph,ncsu,assets/images/ncsu/bar-graph.png
barn,ncsu,assets/images/ncsu/barn.png
belltower,ncsu,assets/images/ncsu/belltower.png
book,ncsu,assets/images/ncsu/book.png
briefcase,ncsu,assets/images/ncsu/briefcase.png
buildings,ncsu,assets/images/ncsu/buildings.png
calendar,ncsu,assets/images/ncsu/calendar.png
camera,ncsu,assets/images/ncsu/camera.png
cars-and-trucks,ncsu,assets/images/ncsu/cars-and-trucks.png
checklist,ncsu,assets/images/ncsu/checklist.png
checkmark,ncsu,assets/images/ncsu/checkmark.png
clipboard,ncsu,assets/images/ncsu/clipboard.png
compass,ncsu,assets/images/ncsu/compass.png
contact,ncsu,assets/images/ncsu/contact.png
data-points,ncsu,assets/images/ncsu/data-points.png
devices,ncsu,assets/images/ncsu/devices.png
document,ncsu,assets/images/ncsu/document.png
easel,ncsu,assets/images/ncsu/easel.png
family,ncsu,assets/images/ncsu/family.png
flow-chart,ncsu,assets/images/ncsu/flow-chart.png
gears,ncsu,assets/images/ncsu/gears.png
gift,ncsu,assets/images/ncsu/gift.png
globe,ncsu,assets/images/ncsu/globe.png
graduate,ncsu,assets/images/ncsu/graduate.png
group,ncsu,assets/images/ncsu/group.png
handshake,ncsu,assets/images/ncsu/handshake.png
hashtag,ncsu,assets/images/ncsu/hashtag.png
heart-graph,ncsu,assets/images/ncsu/heart-graph.png
highway,ncsu,assets/images/ncsu/highway.png
house,ncsu,assets/images/ncsu/house.png
laptop,ncsu,assets/images/ncsu/laptop.png
leader,ncsu,assets/images/ncsu/leader.png
lightbulb,ncsu,assets/images/ncsu/lightbulb.png
lightning,ncsu,assets/images/ncsu/lightning.png
line-graph,ncsu,assets/images/ncsu/line-graph.png
microscope,ncsu,assets/images/ncsu/microscope.png
mobile,ncsu,assets/images/ncsu/mobile.png
molecule,ncsu,assets/images/ncsu/molecule.png
multiple-documents,ncsu,assets/images/ncsu/multiple-documents.png
music,ncsu,assets/images/ncsu/music.png
north-carolina,ncsu,assets/images/ncsu/north-carolina.png
passport,ncsu,assets/images/ncsu/passport.png
photo,ncsu,assets/images/ncsu/photo.png
piggybank,ncsu,assets/images/ncsu/piggybank.png
podium,ncsu,assets/images/ncsu/podium.png
raleigh-capitol,ncsu,assets/images/ncsu/raleigh-capitol.png
ribbon,ncsu,assets/images/ncsu/ribbon.png
rocketship,ncsu,assets/images/ncsu/rocketship.png
roi,ncsu,assets/images/ncsu/roi.png
scissors,ncsu,assets/images/ncsu/scissors.png
smart-watch,ncsu,assets/images/ncsu/smart-watch.png
sprout,ncsu,assets/images/ncsu/sprout.png
star,ncsu,assets/images/ncsu/star.png
stopwatch,ncsu,assets/images/ncsu/stopwatch.png
syringe,ncsu,assets/images/ncsu/syringe.png
tablet,ncsu,assets/images/ncsu/tablet.png
tools,ncsu,assets/images/ncsu/tools.png
tree,ncsu,assets/images/ncsu/tree.png
utensils,ncsu,assets/images/ncsu/utensils.png
video,ncsu,assets/images/ncsu/video.png
wolf-head,ncsu,assets/images/ncsu/wolf-head.png
animation,custom,assets/images/ncsu/video.png
reminder,custom,assets/images/ncsu/star.png
demo,custom,assets/images/ncsu/rocketship.png
task,custom,assets/images/ncsu/gears.png
rubric,custom,assets/images/ncsu/checklist.png
download,custom,assets/images/ncsu/arrows.png
objective,custom,assets/images/ncsu/graduate.png
quiz,custom,assets/images/ncsu/wolf-head.png
overview,custom,assets/images/ncsu/arrows.png
whitetime,custom,assets/images/ncsu/stopwatch.png
code,custom,assets/images/ncsu/laptop.png
java,file,assets/images/file/java.png
pdf,file,assets/images/file/pdf.png
zip,file,assets/images/file/zip.png
csv,file,assets/images/file/csv.png
txt,file,assets/images/file/txt.png
tar,file,assets/images/file/tar.png
doc,file,assets/images/file/doc.png
docx,file,assets/images/file/docx.png
xls,file,assets/images/file/xls.png
xlsx,file,assets/images/file/xlsx.png
brick,theme,assets/images/ncsubrick.png
print,file,assets/images/file/print.png
